r#,cosine,,,C1 function,,,normal dist,,
-,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3
r0,1.0,1.0,48.52312916315659,,,,-1.1489176783240587,-0.53407849096026,7.589899784031029
r1,inf,1.0000000000000002,1.0,-inf,-inf,-inf,1.2430027327566016,0.505276533187994,6.108809273782094
r2,-inf,0.49999999999999944,0.0,-0.16992500144231246,-0.45943161863729726,1.0,1.2588251295590271,1.2077004891588576,6.030407443879879
r3,0.6142233484181938,0.1467524615142527,-0.8073549220576043,0.5552151573271042,0.39334242817952486,inf,1.167630614282179,1.1749620721120733,6.007646593090498
r4,0.9137674192029288,0.8244511600829698,1.4854268271702415,0.8009286528981711,0.7306988357638476,-inf,1.0941385725268755,1.1044487760485748,6.00127759501565
r5,0.9789729829988537,0.9577726376530773,1.3219280948873624,0.9053885704432867,0.8728880820966607,2.321928094887362,1.0497806873528692,1.0562572775460994,6.014950341465972
r6,0.9947750862022826,0.9895396131049952,-3.6147098441152083,0.9538327737739175,0.9382054349346396,0.4150374992788437,1.0255875696258985,1.029104367363831,2.321928094887362
r7,0.9986957413978055,0.9973908270124074,2.914270125974116,0.9771904734555014,0.9695281399344887,-0.5849625007211563,1.0129707424555214,1.0147916771905081,-0.7369655941662062
r8,0.9996740581532726,0.9993480753848692,0.27417496343899417,0.9886624998266159,0.9848685990765926,1.0,1.0065299577834783,1.00745513439842,1.3219280948873624
